Name,Style,Strengths,Weaknesses
Desmond Green,pressure wrestler,"strong takedowns, relentless pace, good cardio","striking defense, can be outstruck, limited finishing ability"
Pearl Gonzalez,striker,"excellent striking accuracy, versatile in stand-up exchanges, strong clinch work","vulnerable to takedowns, inconsistent defensive grappling"
Tom Duquesnoy,well-rounded,"dynamic striking, proficient in grappling, good fight IQ","occasionally overcommits to strikes, can be outpaced by faster opponents"
Cindy Dandois,submission specialist,"high-level grappling, effective submission transitions, strong positional control","limited striking power, can struggle against aggressive strikers"
Rashad Coulter,brawler,"powerful punches, relentless pressure, strong chin","defensive lapses, limited grappling skills"
Oliver Enkamp,technical striker,"precise striking, excellent footwork, strong defensive skills","can be hesitant to engage, lacks wrestling defense"
Deiveson Figueiredo,power striker,"explosive knockout power, strong grappling, excellent counter striking","cardio concerns in later rounds, sometimes overly aggressive, can be susceptible to leg kicks"
Brian Kelleher,well-rounded fighter,"solid grappling, effective striking, good fight IQ","inconsistent performance against top-tier opponents, lacks elite finishing ability, can be outpaced"
Marlon Moraes,dynamic striker,"fast and powerful kicks, strong wrestling base, adept at creating angles","tends to fade in later rounds, defensive vulnerabilities, can struggle against pressure fighters"
Chan-Mi Jeon,technical striker,"precise striking, solid footwork, good defensive skills","limited grappling, can be too cautious, struggles against aggressive opponents"
Ashkan Mokhtarian,pressure fighter,"high volume striking, relentless pace, strong cardio","defensive lapses, can be outmaneuvered, lacks knockout power"
Luke Jumeau,striker,"powerful striking, good footwork, effective counterpunching","defensive grappling, susceptibility to leg kicks"
Ji Yeon Kim,striker,"volume punching, high output, strong boxing fundamentals","defensive vulnerabilities, grappling defense"
Naoki Inoue,submission specialist,"excellent grappling, slick submissions, strong positional control","stand-up striking, limited knockout power"
Carls John De Tomas,brawler,"aggressive fighting style, resilience, knockout power","defensive gaps, cardio issues in later rounds"
Frank Camacho,pressure fighter,"high pressure, relentless pace, durable chin","defensive liabilities, tendency to absorb damage"
Rolando Dy,striker,"dynamic striking, powerful kicks, good movement","defensive vulnerabilities, grappling defense, inconsistent fight IQ"
Jared Gordon,pressure boxer,"high output striking, relentless pace, solid grappling","susceptible to counterattacks, stamina management, defensive grappling"
Michel Quinones,technical striker,"precise striking, effective footwork, strong fight IQ","limited grappling, sometimes overly cautious, can struggle against pressure"
Dominick Reyes,counter striker,"explosive power, excellent timing, strong takedown defense","can be too reactive, cardio concerns in later rounds, occasional defensive lapses"
Tom Gallicchio,grappler,"strong wrestling base, effective submissions, good positional control","striking defense, limited striking output, can be taken down"
Nick Roehrick,striker,"powerful striking, effective distance control, solid footwork","defensive grappling, susceptibility to leg kicks, inconsistent fight IQ"
Justin Gaethje,brawler,"explosive power, relentless pressure, exceptional leg kicks","defensive vulnerabilities, tendency to take damage, limited grappling"
Trevin Giles,counter striker,"quick reflexes, strong boxing skills, effective at reading opponents","grappling defense, sometimes hesitant to engage, cardio concerns"
James Bochnovic,submission specialist,"excellent grappling, high-level submission skills, strong positional control","striking defense, limited stand-up game, can be outpaced"
Cody Stamann,pressure wrestler,"solid wrestling base, relentless pace, good cardio","striking output, defensive striking, can struggle against high-level strikers"
Terrion Ware,striker,"powerful striking, good footwork, effective countering","defensive grappling, stamina management, susceptibility to pressure"
Amanda Lemos,striker,"explosive power, diverse striking arsenal, strong clinch game","defensive grappling, tendency to engage in brawls, cardio in later rounds"
Danny Henry,submission specialist,"excellent grappling, high-level submissions, strong positional control","striking defense, reliance on grappling, vulnerability to striking exchanges"
Daniel Teymur,brawler,"aggressive striking, knockout power, high pressure","defensive lapses, limited grappling skills, cardio issues in prolonged fights"
Galore Bofando,striker,"dynamic striking, creativity in attacks, athleticism","defensive grappling, inconsistency in performance, over-reliance on striking"
James Mulheron,technical striker,"excellent footwork, diverse striking arsenal, solid defensive skills","limited grappling, can be hesitant to engage, stamina concerns"
Justin Willis,pressure wrestler,"strong grappling base, relentless pressure, effective ground control","striking defense vulnerabilities, limited striking output, can struggle against agile opponents"
Junior Albini,well-rounded fighter,"versatile skill set, good striking and grappling balance, strong cardio","inconsistent fight IQ, can be outpaced by faster fighters, defensive lapses"
Eryk Anders,power striker,"explosive power, aggressive fighting style, strong physicality","tends to rely on power, grappling defense issues, can gas out in later rounds"
Jarred Brooks,submission specialist,"high-level grappling, excellent submission skills, quick transitions","striking can be unrefined, may struggle against powerful strikers, cardio management issues"
Calvin Kattar,striker,"powerful boxing, high output, excellent footwork","vulnerability to leg kicks, can be outpaced"
Tonya Evinger,pressure grappler,"strong wrestling, relentless pace, effective ground control","striking defense, susceptibility to submissions"
Joseph Morales,well-rounded,"versatile striking, solid grappling, good fight IQ","inconsistent aggression, can struggle against elite competition"
Robert Sanchez,submission specialist,"high-level grappling, quick transitions, effective submissions","striking defense, limited striking output"
Humberto Bandenay,brawler,"explosive striking, knockout power, aggressive style","defensive lapses, cardio issues in later rounds"
Abdul-Kerim Edilov,striker-wrestler,"powerful striking, effective grappling, strong cardio","defensive vulnerabilities, limited submission skills"
Mike Santiago,brawler,"aggressive striking, high volume output, resilience","defensive lapses, susceptibility to takedowns"
Zabit Magomedsharipov,dynamic striker,"creative striking, exceptional footwork, versatility","cardio management, grappling defense under pressure"
Aleksandar Rakic,technical striker,"precise striking, strong kicking game, solid takedown defense","limited grappling offense, sometimes overly cautious"
Mads Burnell,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense, reliance on ground game"
Talita Bernardo,submission specialist,"excellent grappling skills, high-level jiu-jitsu, strong positional control","limited striking volume, vulnerability to stand-up exchanges, inconsistent cardio"
